,diesel,petrol
Nabarangapur,99.53 ₹/L,108.13 ₹/L
Nadia,93.78 ₹/L,107.12 ₹/L
Nagaon,89.77 ₹/L,98.26 ₹/L
Nagapattinam,95.79 ₹/L,104.18 ₹/L
Nagarkurnool,98.53 ₹/L,110.41 ₹/L
Nagaur,93.99 ₹/L,108.78 ₹/L
Nagpur,92.59 ₹/L,106.04 ₹/L
Nainital,89.97 ₹/L,94.85 ₹/L
Nalanda,94.42 ₹/L,107.65 ₹/L
Nalbari,89.18 ₹/L,97.66 ₹/L
Nalgonda,98.22 ₹/L,110.11 ₹/L
Namakkal,94.70 ₹/L,103.07 ₹/L
Namsai,84.42 ₹/L,95.13 ₹/L
Nanded,94.78 ₹/L,108.32 ₹/L
Nandurbar,93.49 ₹/L,106.99 ₹/L
Narayanpet,99.51 ₹/L,111.47 ₹/L
Narmada,92.73 ₹/L,96.99 ₹/L
Narsimhapur,94.21 ₹/L,108.96 ₹/L
Nashik,92.42 ₹/L,105.89 ₹/L
Navsari,92.30 ₹/L,96.54 ₹/L
Nawada,94.97 ₹/L,108.24 ₹/L
Nayagarh,95.03 ₹/L,103.47 ₹/L
Neemach,95.15 ₹/L,110.00 ₹/L
Nellore,99.91 ₹/L,112.24 ₹/L
New Delhi,89.62 ₹/L,96.72 ₹/L
Nicobar,79.74 ₹/L,84.10 ₹/L
Nilgiris,96.37 ₹/L,104.96 ₹/L
Nirmal,99.40 ₹/L,111.36 ₹/L
Nizamabad,99.31 ₹/L,111.27 ₹/L
Noney,87.51 ₹/L,101.61 ₹/L
North 24 Parganas,93.29 ₹/L,106.59 ₹/L
North And Middle Andaman,79.74 ₹/L,84.10 ₹/L
North Delhi,89.62 ₹/L,96.72 ₹/L
North District,89.90 ₹/L,102.85 ₹/L
North East Delhi,89.62 ₹/L,96.72 ₹/L
North Garo Hills,84.19 ₹/L,95.67 ₹/L
North Goa,90.29 ₹/L,97.75 ₹/L
North Tripura,87.42 ₹/L,98.40 ₹/L
North West Delhi,89.62 ₹/L,96.72 ₹/L
Nuaparha,97.17 ₹/L,105.68 ₹/L
Osmanabad,93.84 ₹/L,107.35 ₹/L
Pakur,95.97 ₹/L,101.20 ₹/L
Palakkad,97.95 ₹/L,109.11 ₹/L
Palamau,97.54 ₹/L,102.75 ₹/L
Palghar,92.55 ₹/L,106.06 ₹/L
Pali,93.78 ₹/L,108.54 ₹/L
Palwal,90.30 ₹/L,97.44 ₹/L
Panch Mahal,92.18 ₹/L,96.44 ₹/L
Panchkula,90.67 ₹/L,97.84 ₹/L
Panipat,89.53 ₹/L,96.67 ₹/L
